Ativo,cod_Ativo_guess,cod_Ativo_guess_norm,Fundo
CAIXA,,,FIA MINAS
CAIXA,,,FIRF GERAES
CAIXA,,,FIRF GERAES 30
CAIXA,,,HORIZONTE FIM
CAIXA,,,MINAS EDUCAÇÃO FIA
CAIXA,,,MINAS O.N.E. FIA
VTRU3,,,FIA MINAS
VAMO3,,,ALFA HORIZON FIA
VAMO3,,,FIA MINAS
SUZB3,,,ALFA HORIZON FIA
SEER3,,,ALFA HORIZON FIA
SEER3,,,FIA MINAS
PRIO3,,,ALFA HORIZON FIA
PRIO3,,,FIA MINAS
MOVI3,,,ALFA HORIZON FIA
MOVI3,,,FIA MINAS
MOVI3,,,MINAS O.N.E. FIA
LQD US,,,HORIZONTE FIM
GOLD11,GOLD11,GOLD11,HORIZONTE FIM
GMAT3,,,ALFA HORIZON FIA
COGN3,,,FIA MINAS
INBR32,INBR32,INBR32,ALFA HORIZON FIA
INBR32,INBR32,INBR32,FIA MINAS
ANIM3,,,ALFA HORIZON FIA
ANIM3,,,FIA MINAS
ANIM3,,,MINAS EDUCAÇÃO FIA
ANIM3,,,MINAS O.N.E. FIA
AMER11,AMER11,AMER11,HORIZONTE FIM
TIP US,,,HORIZONTE FIM
US8605701189,US8605701189,US8605701189,HORIZONTE FIM
